Champions World Resort,2,458,416
Comfort Inn Kissimmee,2,491,446
Palisades Resort,2,575,523
Tuscana Resort Orlando by Aston,2,564,513
Ramada Kissimmee Downtown,2,479,436
Flamingo Waterpark Resort,2,494,450
Quality Suites The Royale Parc Suites,2,518,471
Comfort Suites Maingate East,2,575,523
Celebration Suites Orlando,2,571,520
Hyatt Place Tampa/Busch Gardens,2,529,481
Coconut Cove Suites,2,625,569
THE CASABLANCA ON THE OCEAN HOTEL,2,545,495
Pier House 60 Marina Hotel,2,691,628
Holiday Inn Miami Beach,2,610,555
Magnuson Hotel Clearwater Beach,2,514,467
 Deauville Beach Resort,2,579,527
Ramada Plaza Marco Polo Beach Resort,2,529,481
Holiday Inn & Suites Tampa,2,533,485
Hilton Tampa Downtown,2,672,611
Penguin Hotel,2,506,460
Sheraton Tampa Riverwalk,2,571,520
Island House,2,498,453
Sheraton Sand Key Resort,2,752,684
President Hotel South Beach,2,660,600
Hilton Clearwater Beach Resort & Spa,2,729,663
" Circa 39 Hotel, Miami Beach",2,560,509
Holiday Inn & Suites Clearwater Beach,2,637,579
Greenview South Beach,2,514,467
Marriott Suites On Sand Key,2,764,695
The Angler's Boutique Resort - A Kimpton Hotel,2,710,646
Sandpearl Resort Clearwater Beach,2,810,737
 Pestana Miami South Beach,2,614,558
Hyatt Regency Clearwater Beach,2,749,681
Hyatt Centric South Beach Miami,2,722,656
Wyndham Grand Clearwater Beach,2,783,712
 The Miami Beach Resort & Spa,2,575,523
Radisson Resort Orlando Celebration,2,506,460
 Marenas Beach Resort,2,672,611
Wyndham Cypress Palms,2,525,478
 The Palms Hotel & Spa,2,699,635
Reunion,1,695,632
Polynesian Isles Resort,2,548,499
Champions Gate,1,614,558
Riu Plaza Miami Beach,2,672,611
Tuscan Ridge,1,502,457
MAGIC MOMENT RESORT & KIDS CLUB,2,514,467
 Dream South Beach,2,645,586
Southern Dunes,1,533,485
 Hotel Croydon,2,498,453
Highlands Reserve,1,521,474
Best Western Lake Buena Vista,2,518,471
The Confidante - Hyatt Unbound Collection,2,722,656
Calabay Parc,1,518,471
Liki Tiki Village Resort,2,541,492
Galan ,1,371,338
Wyndham Lake Buena Vista,2,568,516
 Fontainebleau Miami Beach,2,745,677
High Grove,1,529,481
Trafalgar Village,1,494,450
Radisson Hotel Orlando - Lake Buena Vista,2,622,565
Calabay Parc at Tower Lake,1,475,432
Emerald Island,1,502,457
Omni Orlando Resort at Champions Gate,2,641,583
Solana Resort,1,491,446
Clarion Inn Lake Buena Vista,2,487,443
Marbella,1,543,493
Lighthouse Key Resort & Spa,2,647,588
Windsor Palms Resort,1,533,485
Embassy Suites Orlando Lake Buena Vista,2,575,523
Orange Tree,1,531,483
Sandy Ridge,1,518,471
Sheraton Lake Buena Vista Resort,2,545,495
Lake Berkley ,1,510,464
Gaylord Palms Resort & Convention Centre,2,795,723
Loews Miami Beach Hotel,2,879,800
Silver Creek,1,514,467
Quality Inn & Suites by The Parks,2,506,460
Sanctuary South Beach,2,579,527
Homewood Suites By Hilton Lake Buena Vista,2,521,474
Springhill Suites by Marriott Orlando,2,571,520
 The Setai Miami Beach,2,1137,1034
Cabana Bay Beach Resort,2,595,541
Windsor Hills,1,514,467
Hawthorn Suites by Wyndham Lake Buena Vista,2,521,474
W South Beach,2,945,859
Embassy Suites by Hilton Lake Buena Vista South,2,568,516
Legacy Vacation Club Lake Buena Vista,2,518,471
Edition Miami Beach,2,918,835
Orlando World Centre Marriott,2,822,747
Silver Lake Resort,2,595,541
Hilton Orlando Lake Buena Vista,2,614,558
Mondrian South Beach,2,652,593
Loews Royal Pacific Resort,2,764,695
Sheraton Vistana Lake Buena Vista,2,618,562
Courtyard Orlando Lake Buena Vista,2,606,551
Hilton Orlando Bonnet Creek,2,633,576
Wyndham Grand Orlando Bonnet Creek,2,583,530
Loews Sapphire Falls Resort,2,683,621
SLS Hotel South Beach,2,787,716
Wyndham Bonnet Creek Resort,2,645,586
Faena Hotel Miami Beach,2,922,838
Loews Portofino Bay Hotel,2,906,824
Hyatt Regency Grand Cypress,2,695,632
Carillon Miami Wellness Resort,2,860,782
Staybridge Suites Lake Buena Vista,2,573,521
Rosen Inn International Drive,2,548,499
Best Western International Drive Orlando,2,633,576
Lake Buena Vista Resort Village & Spa,2,672,611
Wyndham Orlando Resort International Drive,2,541,492
The Villas of Grand Cypress,2,631,574
Calypso Cay Resort,2,521,474
Four Seasons Resort at Walt Disney World,4,1130,1027
Rosen Inn at Pointe Orlando,2,552,502
 Embassy Suites by Hilton Orlando International Drive Convention Center,2,575,523
Waldorf Astoria Orlando,4,822,747
 Ramada Plaza Resort and Suites Orlando International Drive,2,552,502
CoCo Key Hotel and Water Resort - Orlando,2,537,488
Disney's All Star Sports Resort,4,560,509
La Quinta Inn Orlando International Drive North,2,548,499
 Holiday Inn Express & Suites Orlando - International Drive,2,579,527
Allure Resort International Drive,2,483,439
Monumental Movieland Hotel,2,464,422
Hilton Garden Inn Orlando International Drive North,2,556,506
Rosen Plaza Hotel,2,625,569
 Floridays Resort,2,710,646
Disney's Art of Animation,4,652,593
DoubleTree by Hilton Orlando at Sea World,2,537,488
Disney's All-Star Movies Resort,4,552,502
 Rosen Centre Hotel,2,556,506
 Hilton Orlando,2,675,614
Hyatt Regency Orlando,2,622,565
Disney's All Star Music Resort,4,645,586
Disney's Pop Century Resort,4,587,534
" Castle Hotel, Autograph Collection",2,552,502
Courtyard by Marriott Orlando International Drive/Convention Center,2,652,593
 DoubleTree by Hilton Hotel at the Entrance to Universal Orlando,2,521,474
"The Ritz-Carlton Orlando, Grande Lakes",2,752,684
" JW Marriott Orlando, Grande Lakes",2,702,639
 Reunion Resort,5,371,338
 Four Seasons Resort Orlando at Walt Disney WorldÂ® Resort,5,1130,1027
Waldorf Astoria Orlando,5,737,670
"The Ritz-Carlton Orlando, Grande Lakes",5,845,768
 Disney's Contemporary Resort,5,945,859
Disney's Polynesian Village Resort,5,999,908
Disney's Yacht Club Resort,5,868,789
 Disney's Animal Kingdom Lodge,5,806,733
Disney's Saratoga Springs Resort & Spa,5,914,831
Disney's Wilderness Lodge,5,802,730
Disney's Old Keywest Resort,5,826,751
Disney's Beach Club Resort,5,956,870
Walt Disney World Dolphin Resort,4,710,646
